"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"4/1/2022 12 a.m. EDT",31382,20085,28631,25376,77931,75189,11016,39481,14520,22020,11862,15723,39210
US48,"4/1/2022 1 a.m. EDT",30218,18695,27887,23163,76383,72732,10744,37819,13778,20911,11280,15166,36443
US48,"4/1/2022 2 a.m. EDT",28575,17845,27478,21700,74588,71276,10568,35666,13340,19946,10772,14768,34605
US48,"4/1/2022 3 a.m. EDT",26779,17293,27324,20781,73778,70618,10355,34116,13090,19350,10080,14553,33635
US48,"4/1/2022 4 a.m. EDT",25477,17180,27227,20241,73715,70633,10300,33185,13015,19236,9620,14407,33110
US48,"4/1/2022 5 a.m. EDT",24556,17433,27351,20202,73525,70464,10533,32739,13193,19484,9326,14793,33214
US48,"4/1/2022 6 a.m. EDT",24085,18517,27941,21155,75729,71677,11062,32765,13899,20099,9169,15390,33861
US48,"4/1/2022 7 a.m. EDT",23955,20630,29228,23176,82113,75489,12022,33349,15302,21952,9143,16779,35783
US48,"4/1/2022 8 a.m. EDT",24480,21666,31404,24500,87039,80726,12766,34934,16344,23625,9399,18385,38775
US48,"4/1/2022 9 a.m. EDT",25994,21769,32567,25856,88603,83003,12956,37853,16847,24130,10010,18817,40387
US48,"4/1/2022 10 a.m. EDT",28319,21550,32193,27675,88794,82140,12422,41031,16954,24244,10302,18671,40443
US48,"4/1/2022 11 a.m. EDT",29323,21751,31236,29155,87970,80705,11945,42218,16929,24163,10279,18315,40605
US48,"4/1/2022 12 p.m. EDT",29244,21421,30462,30323,87237,79475,12097,41750,16919,23879,10260,17849,40674
US48,"4/1/2022 1 p.m. EDT",27958,21337,29703,31394,86662,77998,12150,40804,16675,23662,10099,17269,40716
US48,"4/1/2022 2 p.m. EDT",26949,21373,29012,32391,86064,76727,11873,39494,16397,23636,9935,16707,40993
US48,"4/1/2022 3 p.m. EDT",26231,21401,28603,33367,85654,75658,11804,38496,16247,23844,9982,16286,41546
US48,"4/1/2022 4 p.m. EDT",25488,21378,28131,34701,85424,74412,11765,37692,16517,24050,10094,15926,42118
US48,"4/1/2022 5 p.m. EDT",26317,21630,27810,35413,85147,73433,12092,37026,16973,24301,10391,15629,42945
US48,"4/1/2022 6 p.m. EDT",25505,21833,27581,35293,84741,73126,12649,36640,17274,24539,10773,15547,43791
US48,"4/1/2022 7 p.m. EDT",25821,21899,27389,34376,85019,73030,13002,36698,17412,24023,11311,15581,44322
US48,"4/1/2022 8 p.m. EDT",26511,21919,27282,32946,86879,73191,13477,37314,17702,23653,11890,15733,43588
US48,"4/1/2022 9 p.m. EDT",28160,22426,27486,32180,88846,74401,13308,37821,17581,23898,12132,16504,42626
US48,"4/1/2022 10 p.m. EDT",29713,21708,27916,30323,87602,75439,12727,38287,17020,23525,12277,16841,42583
US48,"4/1/2022 11 p.m. EDT",31180,20702,27523,28127,84835,74254,12246,38736,16219,22682,12283,16627,41444
US48,"4/2/2022 12 a.m. EDT",31158,19587,26754,25544,81948,71499,11480,38310,15394,21485,11891,16266,39370
US48,"4/2/2022 1 a.m. EDT",30197,18627,25776,23445,79541,69018,10938,36881,14725,20344,11354,15756,37146
US48,"4/2/2022 2 a.m. EDT",28589,18188,25005,21702,78000,67094,10910,35067,14288,20042,10912,15605,35085
US48,"4/2/2022 3 a.m. EDT",26922,18189,24560,20444,77470,65941,10972,33514,13990,19706,10237,15612,33596
US48,"4/2/2022 4 a.m. EDT",25629,18289,24432,19681,77392,65650,10949,32493,13861,19638,9758,15871,32616
US48,"4/2/2022 5 a.m. EDT",24649,18865,24442,19349,78131,65613,10834,32092,13943,19819,9426,16238,32227
US48,"4/2/2022 6 a.m. EDT",24071,19866,24717,19522,80467,66190,11032,31893,14217,20356,9189,16735,32223
US48,"4/2/2022 7 a.m. EDT",23780,21252,25241,20231,83890,68030,11301,32063,14774,20988,9132,17353,32864
US48,"4/2/2022 8 a.m. EDT",23626,22575,26244,21200,86685,70331,11687,32574,15251,21816,9210,18109,33896
US48,"4/2/2022 9 a.m. EDT",24100,23175,26980,23500,86332,71930,11279,33987,15433,23022,9416,18502,35080
US48,"4/2/2022 10 a.m. EDT",24959,22958,27339,26364,84334,73220,10790,35417,15186,23447,9305,18149,36229
US48,"4/2/2022 11 a.m. EDT",25284,22282,27294,29009,81900,73312,10149,36667,14831,23472,9381,17705,37425
US48,"4/2/2022 12 p.m. EDT",25406,21304,27065,30916,80050,72509,9939,37455,14465,23169,9550,17210,38521
US48,"4/2/2022 1 p.m. EDT",25407,20603,26655,32459,79355,71279,9653,37471,14096,23138,9468,16635,39704
US48,"4/2/2022 2 p.m. EDT",25344,20057,26298,33430,78211,70387,9507,37015,13756,22712,9486,16110,40541
US48,"4/2/2022 3 p.m. EDT",24766,19821,26036,33674,77177,69619,9425,36508,13523,22157,9610,15581,41569
US48,"4/2/2022 4 p.m. EDT",24036,19732,25906,32600,76430,69290,9517,35843,13501,21722,9855,15223,42950
US48,"4/2/2022 5 p.m. EDT",23866,19793,25914,31533,76813,68901,9616,35220,13893,21737,10204,14959,44594
US48,"4/2/2022 6 p.m. EDT",23651,20123,26114,30487,77291,69267,10935,34929,14663,21855,10777,14990,46134
US48,"4/2/2022 7 p.m. EDT",23806,20213,26403,29210,77382,69851,12115,35096,15518,21929,11381,15058,46990
US48,"4/2/2022 8 p.m. EDT",24806,20794,26373,28246,79558,70415,12816,35614,16191,21957,12065,15116,46625
US48,"4/2/2022 9 p.m. EDT",26082,21446,26294,27524,81710,71187,12772,36231,16392,22723,12367,15673,45016
US48,"4/2/2022 10 p.m. EDT",28154,20781,26764,26009,80381,71786,12291,36740,15996,22524,12446,15789,43994
US48,"4/2/2022 11 p.m. EDT",29730,19982,26332,24341,77964,70230,11625,37205,15388,21838,12353,15415,42436
US48,"4/3/2022 12 a.m. EDT",29641,19065,25546,22443,75478,67888,10957,37150,14668,20940,11916,15007,40422
US48,"4/3/2022 1 a.m. EDT",28966,18316,24664,20657,73827,65776,11009,35943,14036,19973,11381,14324,38195
US48,"4/3/2022 2 a.m. EDT",27683,17839,24102,19161,73163,64422,10722,34590,13614,19451,10937,13921,36293
US48,"4/3/2022 3 a.m. EDT",26193,17701,23764,18076,72624,64262,10794,33120,13376,19309,10305,13877,34657
US48,"4/3/2022 4 a.m. EDT",24925,17820,23630,17447,73015,64268,10517,31720,13213,19161,9831,13886,33712
US48,"4/3/2022 5 a.m. EDT",24024,18109,23674,17271,73077,64201,10723,31319,13208,19292,9405,14017,33031
